State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
AK	0.5555555555555556	0.3333333333333333	0.6	0.325	0.23636363636363636	0.7272727272727273	0.25	0.2	0.8	0.0	0.0	1.0	0.3692307692307692	0.25806451612903225	0.6989247311827957	0.5	0.31746031746031744	0.6349206349206349	20	40	63	0.6099541260874078	0.33761704194531267	0.5535121864179854	2.444339413418618	0.6731796653574741	0.2754035146109168	1.5243520903485663	0.6038587470332165	0.39614125296678343	0.0	0.0	1.0	1.0641390812501192	0.47543736137865544	0.4467812241423608
AL	0.43373493975903615	0.24324324324324326	0.5608108108108109	0.23204419889502764	0.18181818181818182	0.7835497835497836	0.43750000000000006	0.2916666666666667	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.5	0.30742049469964666	0.21271393643031786	0.6919315403422983	0.3417085427135679	0.23693379790940766	0.6933797909407665	68	199	287	0.6813680673494171	0.18234780489487895	0.26762012138935165	0.7224217417155175	0.3741672827312358	0.5179346926114236	1.3431689848064206	0.50172255661552	0.37353643680793375	8.185923565155768	0.5076744375076712	0.062017979213566075	0.7393507365512239	0.2297343936119521	0.31072450767219273
AR	0.810344827586207	0.42342342342342343	0.5225225225225225	0.125	0.10101010101010101	0.8080808080808081	0.125	0.1111111111111111	0.8888888888888888	0.09090909090909091	0.08333333333333333	0.9166666666666666	0.37579617834394907	0.2554112554112554	0.6796536796536796	0.34210526315789475	0.23214285714285715	0.6785714285714286	26	76	112	2.5880333016962647	0.4865572913032331	0.1880027165741379	0.2990151615946129	0.13088565499368818	0.43772246964230943	0.44226613314745045	0.3066466881409017	0.6933533118590982	0.8487013765119615	0.45907975581932503	0.5409202441806747	1.633984928453176	0.41213643409682155	0.2522278063402785
AZ	0.24731182795698922	0.17624521072796934	0.7126436781609196	0.17207792207792208	0.13554987212276215	0.7877237851662404	0.37499999999999994	0.2571428571428571	0.6857142857142857	0.125	0.1111111111111111	0.8888888888888888	0.20599250936329588	0.15602836879432624	0.7574468085106383	0.27272727272727276	0.19661733615221988	0.7209302325581395	93	341	473	0.5383545372023781	0.26577635699635827	0.493682765965893	0.7050584850450476	0.29513889588420983	0.41860200557029364	1.7581260909820855	0.5528247761800521	0.3144397771102102	0.42755129423476185	0.2994997769687502	0.7005002230312498	0.6050451696943513	0.2857156649146076	0.47222204097413367
CA	0.8182883939038686	0.3787303309820944	0.4628323385784048	0.3373403456048084	0.23544834819087573	0.697954902988988	0.9489051094890512	0.4626334519572954	0.4875444839857651	0.5405405405405405	0.32786885245901637	0.6065573770491803	0.5498956158663882	0.3171201541054659	0.576691548278353	0.579520697167756	0.3288009888751545	0.5673671199011124	798	1377	2427	2.1460488825806943	0.4279291139701401	0.19940324633031717	0.8052642752153595	0.32368799380866087	0.4019649247721736	1.7073797610941113	0.5844520150494651	0.34230932588479357	0.9696282876289581	0.3764278026743721	0.388218668408339	1.6065911055154585	0.4115913207363783	0.256189219100851
CO	0.6859504132231405	0.33739837398373984	0.491869918699187	0.2348178137651822	0.18412698412698414	0.7841269841269841	0.3888888888888889	0.25925925925925924	0.6666666666666666	0.16666666666666666	0.1111111111111111	0.6666666666666666	0.3801020408163265	0.24958123953098826	0.6566164154103853	0.5023696682464455	0.30547550432276654	0.6080691642651297	106	211	347	0.7470800500517089	0.25587609850640153	0.3425015813080421	0.712869815456241	0.3677934509347976	0.5159335448919345	1.3960194524839515	0.40426094923697437	0.28958117203715805	0.09135485606988146	0.05891823584576839	0.6449381935504246	0.7311230187155866	0.28307635619766824	0.38718019943479237
CT	0.4385964912280702	0.25	0.57	0.2553191489361702	0.1935483870967742	0.7580645161290323	0.5555555555555556	0.3125	0.5625	2.0	0.5	0.25	0.34782608695652173	0.22950819672131148	0.6598360655737705	0.43243243243243235	0.2727272727272727	0.6306818181818182	48	111	176	1.4684550347110514	0.4468523884671051	0.3043010360579631	0.9493261742979356	0.3974970631375427	0.4187149516145044	0.6194117918114787	0.32969550379159795	0.5322719201508882	5.8837189241048025	0.6946059253835629	0.11805559278806745	1.3238224283609556	0.4384888733806359	0.3312293733560139
DC	1.1846153846153846	0.48427672955974843	0.4088050314465409	1.0701754385964912	0.4959349593495935	0.4634146341463415	0.6774193548387097	0.40384615384615385	0.5961538461538461	0.45454545454545453	0.3125	0.6875	1.0180995475113122	0.47568710359408034	0.46723044397463004	1.6666666666666665	0.5985915492957746	0.3591549295774648	170	102	284	5.830541092626704	0.5960213742339171	0.10222402428269395	3.314036251226683	0.6956731092356583	0.20991716942690547	1.8077238815951289	0.6438396216397612	0.3561603783602391	2.4876408046795415	0.7132732250814793	0.28672677491852094	3.8168068973614746	0.6394381333708804	0.16753222014268482
DE	0.25	0.16666666666666666	0.6666666666666666	0.4444444444444444	0.2962962962962963	0.6666666666666666	1.0	0.5	0.5	nan	nan	nan	0.42424242424242425	0.27450980392156865	0.6470588235294118	0.5789473684210527	0.3235294117647059	0.5588235294117647	11	19	34	0.9498906282863144	0.43061398844828896	0.4533300736161111	0.12573503506113884	0.11110664418995711	0.8836570024888556	28.194743044867355	0.9657472580435742	0.03425274195642586	nan	nan	nan	0.640558545584384	0.36593342620489744	0.5712724133140008
FL	0.616632860040568	0.3251336898395722	0.5272727272727272	0.1819306930693069	0.14554455445544554	0.8	0.28089887640449435	0.211864406779661	0.7542372881355932	0.136986301369863	0.11363636363636363	0.8295454545454546	0.3321941216678059	0.22594142259414227	0.6801487680148768	0.3220338983050847	0.22058823529411764	0.684984520123839	285	885	1292	2.353489375691291	0.42624642699245546	0.1811125350278048	0.5493519481100843	0.29789987290821157	0.542275082363985	1.0504289149584898	0.4770393178024901	0.45413764892538344	0.3271879931401371	0.12073427296973839	0.3690058177594157	1.4631189397007733	0.39262925741828086	0.26835088164368825
