ID	Link	Leaning Label	Leaning Prob	#users (EAs)	#original_tweets (EAs)	#retweets (EAs)	#quoted_tweets (EAs)	#replies (EAs)	#total_tweets (EAs)	#users (All)	#original_tweets (All)	#retweets (All)	#quoted_tweets (All)	#replies (All)	#total_tweets (All)	#views by May 2018	#views first 120 days	#likes by May 2018	#dislikes by May 2018	#comments by May 2018	Polarity	Intensity	Hostility	Popularity	AVG(watch time in sec.) for first 120 days	AVG(watch percentage) for first 120 days	nw_size	nw_max_indegree	nw_density	nw_in_degree_centrality_gini	nw_closeness_centrality_gini	nw_betweenness_centrality_gini	nw_global_efficiency	nw_degree_assortativity (in-in)	nw_assortativity_leaning_probs_abs_nonreciprocal	nw_assortativity_leaning_probs_abs_reciprocal	nw_assortativity_leaning_labels	nw_assortativity_num_tweets	lang_p1	lang_p2	lang_p3	lang_sad	lang_anger	lang_anx	lang_posemo	lang_negemo	lang_negate	lang_wc	lang_dic_wc	temp_diff_wrt_first_tweet_mean	temp_diff_wrt_first_tweet_median	temp_diff_between_pairs_mean	temp_diff_between_pairs_median	temp_life_time	temp_diff_between_first_tweets_of_source_users_mean	temp_diff_between_first_tweets_of_source_users_median	temp_diff_between_max_indegree_user	cascade_mean	cascade_median	cascade_max(depth)	cascade_num_sources
tCFHkwDCTaM	https://www.youtube.com/watch?v=tCFHkwDCTaM	R	0.8659333428209527	29	30	0	0	0	30	186	104	93	2	48	247	51699	38969	1451	412	1044	0.7622594281309386	0.03603551325944409	-0.27885131508319916	198.7489703486668	247.83160213255252	0.6338404146612596	29	0	0	0.0	0.0	0.0	0.0						0.1	0.0	0.0	0.0	0.0	0.0	0.13333333333333333	0.0	0.0	9.066666666666666	4.766666666666667	113.95957298850574	99.00986666666667	9.48785804597701	6.041433333333333	275.1478833333333	9.826710119047618	6.082658333333333	137.88763333333333	1.0	1.0	1	29
mhcA29ZN0HU	https://www.youtube.com/watch?v=mhcA29ZN0HU	L	0.45419999028400204	101	39	70	19	6	134	595	206	398	102	25	731	151447	147288	6958	968	2373	0.5354517956786824	0.05233514034612769	-0.3778703002775675	1063.5230848844653	470.44964656114814	0.46487119225409895	101	55	0.009702970297029703	0.8805819357445949	0.8600748969103252	0.9706247220466727	0.04592244224422424	-0.3980122677692517	-0.021808811449437075	0.1043872919818457	0.06381352693924351	-0.3308379131301198	0.26119402985074625	0.13432835820895522	0.07462686567164178	0.007462686567164179	0.07462686567164178	0.007462686567164179	0.39552238805970147	0.17164179104477612	0.16417910447761194	13.783582089552239	9.522388059701493	123.73637080200501	108.66368333333334	2.1477467418546365	1.24995	285.65031666666664	8.656070202020201	4.5249	0.0	1.7524752475247525	2.0	4	34
MT3TAGuDioQ	https://www.youtube.com/watch?v=MT3TAGuDioQ	R	0.7329852815470875	76	35	38	6	1	80	482	323	151	13	21	508	652833	344257	29480	258	5199	0.07188057477889649	0.04555223158143047	-0.49132423162283945	1521.105303826471	510.73476403672043	0.7005963841381625	76	45	0.017719298245614034	0.944372068785826	0.9355972116288394	0.9830989110707804	0.027894736842105264	-0.2001480545674447	0.07777048088022566	-0.5000000000000006	nan	-0.09289361682775892	0.3125	0.025	0.0125	0.0	0.0125	0.0	0.3125	0.025	0.0375	8.6125	4.6875	26.03562995780591	21.922216666666667	0.839593459915612	0.5074	66.32788333333333	2.3598910714285712	1.2996916666666667	0.226	1.618421052631579	2.0	2	29
qs0dAh4kjI4	https://www.youtube.com/watch?v=qs0dAh4kjI4	R	0.7955124219639927	20	17	2	2	0	21	151	141	16	4	0	161	730949	346380	21938	515	6208	0.1576265989436045	0.0307176013648011	-0.47706319868169067	2377.948934038564	254.21441670369222	0.632374170904707	20	6	0.015789473684210527	0.95	0.95	0.0	0.015789473684210527	nan	nan		nan	nan	0.3333333333333333	0.0	0.0	0.047619047619047616	0.14285714285714285	0.0	0.8571428571428571	0.19047619047619047	0.0	11.714285714285714	8.238095238095237	140.32261416666668	110.74023333333334	20.189280833333335	9.102991666666666	403.78561666666667	19.971778205128203	7.271066666666667	2.43605	1.3	1.0	2	14
qO3yBiRFYLk	https://www.youtube.com/watch?v=qO3yBiRFYLk	R	0.9549152316201049	84	15	67	4	2	88	566	165	382	36	38	621	16434	12949	1135	8	177	0.06016618797620627	0.06955093099671412	-0.49300087489063865	65.97803079946436	166.32570317158678	0.6872962940974661	84	55	0.029116465863453816	0.8057119399483931	0.5772543695419833	0.9058390538033395	0.1515466628418462	-0.40063798919972016	-0.03955463988489166	-0.016129032258231618	nan	-0.009975341506986517	0.022727272727272728	0.022727272727272728	0.8068181818181818	0.0	0.0	0.0	0.14772727272727273	0.0	0.0	12.897727272727273	7.431818181818182	12.276820306513411	11.366733333333332	0.2911758620689655	0.22295	25.3323	1.1316766666666667	0.8071999999999999	0.6513	1.8452380952380953	2.0	4	21
n062B5gurp0	https://www.youtube.com/watch?v=n062B5gurp0	R	0.7088571310508496	9	3	2	0	5	10	101	40	44	6	22	112	72502	55817	1040	62	521	0.31242148788732915	0.015199580701222036	-0.4437386569872958	225.2719532852855	35.52410070949351	0.7558319299892237	9	0	0	0.0	0.0	0.0	0.0						0.5	0.0	0.0	0.0	0.1	0.0	0.3	0.1	0.0	7.0	4.5	833.1117962962963	802.6305333333333	147.45255370370373	97.44761666666666	1327.0729833333332	165.88412291666668	97.74616666666667	802.6305333333333	1.0	1.0	1	9
puJ-arJgkZU	https://www.youtube.com/watch?v=puJ-arJgkZU	L	0.3171997039869508	23	12	10	1	0	23	138	82	36	6	22	146	312062	288631	1462	1796	2812	0.9924055106011582	0.010440233030615712	0.05125844076120323	1785.7629599945653	133.9674904515878	0.7484217343664122	23	2	0.015810276679841896	0.7826086956521738	0.7898550724637682	0.9217391304347826	0.019433465085639	0.16012815380508713	0.8297872340425532	0.7142857142857127	nan	nan	0.43478260869565216	0.13043478260869565	0.17391304347826086	0.0	0.17391304347826086	0.0	0.13043478260869565	0.17391304347826086	0.2608695652173913	14.130434782608695	9.347826086956522	241.36643333333333	206.21815	20.982777272727276	14.641933333333334	461.6211	27.154182352941177	21.458483333333334	113.04435	1.2608695652173914	1.0	3	18
x-9k01PSHR0	https://www.youtube.com/watch?v=x-9k01PSHR0	L	0.46538501094479046	13	8	6	0	0	14	87	34	77	3	5	119	7292	7137	62	102	20	0.9566522721480909	0.022490400438837082	0.12195121951219512	27.88101353683421	344.2525377232183	0.05935388581434799	13	1	0.038461538461538464	0.5384615384615384	0.5384615384615384	0.0	0.038461538461538464	nan	0.8666666666666692	0.8666666666666692	nan	nan	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.14285714285714285	4.071428571428571	1.9285714285714286	15.932028205128205	14.628233333333334	2.6694666666666667	1.92745	34.703066666666665	3.1003481481481483	2.3331	7.290183333333333	1.2307692307692308	1.0	2	10
msY25ynGTuo	https://www.youtube.com/watch?v=msY25ynGTuo	R	0.9324419785904917	18	3	14	1	0	18	134	41	89	15	9	154	16268	16049	286	69	250	0.7105163697827118	0.021821981804770102	-0.30563380281690145	62.24742490261298	135.61776821406806	0.572226870101553	18	10	0.0784313725490196	0.7314814814814814	0.6620255607107478	0.8349834983498349	0.14950980392156865	-0.3830055637438635	-0.06286946134619459	-0.07692307692307516	nan	nan	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	10.944444444444445	6.555555555555555	7.687505882352942	8.11645	0.8962245098039215	0.57945	15.235816666666667	2.85696	0.43416666666666665	0.0	1.7222222222222223	2.0	3	6
2AhGYo9TExU	https://www.youtube.com/watch?v=2AhGYo9TExU	R	0.7843573114624635	1265	427	860	60	31	1378	9933	2453	8098	289	1227	12067	2312967	1302801	89951	2969	12705	0.20408957954990428	0.040173508744396264	-0.4680477830391735	5705.750772622311	213.23424281642664	0.7084194113502547	1265	576	0.0044391354380347225	0.9129670775155723	0.6533956532813056	0.9520936975968478	0.09234866750686344	-0.14486513604996643	0.3961828461963581	0.6199144190344394	0.014775713191161817	0.013176907887768027	0.17779390420899854	0.20682148040638607	0.011611030478955007	0.0021770682148040637	0.013788098693759071	0.0	0.23730043541364296	0.020319303338171262	0.016690856313497822	10.156023222060957	5.370101596516691	246.434604986686	190.96378333333334	0.6200480513192931	0.27025	853.8061666666666	3.127495115995116	0.7322	172.11408333333333	2.508300395256917	3.0	5	274
