State	p_0_k_original_tweets (L)	p_0_k_original_tweets (R)	p_1_k_original_tweets (L)	p_1_k_original_tweets (R)	p_2_k_original_tweets (L)	p_2_k_original_tweets (R)	p_0_k_retweets (L)	p_0_k_retweets (R)	p_1_k_retweets (L)	p_1_k_retweets (R)	p_2_k_retweets (L)	p_2_k_retweets (R)	p_0_k_quoted_tweets (L)	p_0_k_quoted_tweets (R)	p_1_k_quoted_tweets (L)	p_1_k_quoted_tweets (R)	p_2_k_quoted_tweets (L)	p_2_k_quoted_tweets (R)	p_0_k_replies (L)	p_0_k_replies (R)	p_1_k_replies (L)	p_1_k_replies (R)	p_2_k_replies (L)	p_2_k_replies (R)	p_0_k_total_tweets (L)	p_0_k_total_tweets (R)	p_1_k_total_tweets (L)	p_1_k_total_tweets (R)	p_2_k_total_tweets (L)	p_2_k_total_tweets (R)	p_0_k_users (L)	p_0_k_users (R)	p_1_k_users (L)	p_1_k_users (R)	p_2_k_users (L)	p_2_k_users (R)	#users_1_k (L)	#users_1_k (R)	#users_2_k (L)	#users_2_k (R)	#users_all_k (L)	#users_all_k (R)	p_0_k_virality_original (L)	p_0_k_virality_original (R)	p_1_k_virality_original (L)	p_1_k_virality_original (R)	p_2_k_virality_original (L)	p_2_k_virality_original (R)	p_0_k_virality_retweet (L)	p_0_k_virality_retweet (R)	p_1_k_virality_retweet (L)	p_1_k_virality_retweet (R)	p_2_k_virality_retweet (L)	p_2_k_virality_retweet (R)	p_0_k_virality_quoted (L)	p_0_k_virality_quoted (R)	p_1_k_virality_quoted (L)	p_1_k_virality_quoted (R)	p_2_k_virality_quoted (L)	p_2_k_virality_quoted (R)	p_0_k_virality_reply (L)	p_0_k_virality_reply (R)	p_1_k_virality_reply (L)	p_1_k_virality_reply (R)	p_2_k_virality_reply (L)	p_2_k_virality_reply (R)	p_0_k_virality_total (L)	p_0_k_virality_total (R)	p_1_k_virality_total (L)	p_1_k_virality_total (R)	p_2_k_virality_total (L)	p_2_k_virality_total (R)
AK	6.857142857142857	0.0	0.8571428571428571	0.0	0.125	0.875	nan	0.0	1.0	0.0	0.0	0.9473684210526315	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	0.0	1.0	28.333333333333332	0.0	0.9444444444444444	0.0	0.03333333333333333	0.9333333333333333	20.625	0.0	0.9375	0.0	0.045454545454545456	0.9090909090909091	15	0	1	20	16	20	1.781709552036806	0.0	0.7981293675881918	0.0	0.44795705712852585	0.552042942871474	nan	0.0	1.0	0.0	0.0	0.692980423890881	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	nan	nan	0.0	1.0	2.5865278415734494	0.0	0.8612251166930902	0.0	0.33296572449387807	0.5904632109897942
AL	nan	0.07733333333333334	0.7333333333333333	0.06666666666666667	0.0	0.8620689655172413	70.0	0.0684931506849315	0.9333333333333333	0.06666666666666667	0.013333333333333334	0.9733333333333334	nan	0.0	1.0	0.0	0.0	0.75	2.0	nan	1.0	0.0	0.5	0.0	48.36363636363637	0.06643356643356643	0.8484848484848485	0.06060606060606061	0.017543859649122806	0.9122807017543859	37.5	0.075	0.8333333333333334	0.06666666666666667	0.022222222222222223	0.8888888888888888	25	2	2	80	27	82	nan	0.049166077377272285	0.6443263271545602	0.04668477525990158	0.0	0.9495322334069766	4.108140165729592	0.0	1.0	0.0	0.2434191531102258	0.7534987794209579	nan	0.0	1.0	0.0	0.0	0.047993394089275554	nan	nan	nan	nan	0.6474820184270382	0.0	3.3698726934874363	0.06343019446443396	0.7463978563875585	0.03328713926240186	0.2214914105894966	0.5247838122436522
AR	6.5	0.18840579710144928	0.5	0.16666666666666666	0.07692307692307693	0.8846153846153846	nan	0.0	1.0	0.0	0.0	0.9375	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	0.0	1.0	nan	nan	26.04	0.08701754385964913	0.84	0.08	0.03225806451612903	0.9193548387096774	18.17391304347826	0.09810479375696766	0.8260869565217391	0.08695652173913043	0.045454545454545456	0.8863636363636364	19	2	2	39	21	41	6.208176034053146	0.10809526681674315	0.3343913534373782	0.10049057414232831	0.053863059230790426	0.9296482362423205	nan	0.0	1.0	0.0	0.0	0.8414948715475952	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	0.0	1.0	nan	nan	17.936442418163697	0.09764997453094426	0.6484922395648052	0.08804911439458814	0.036155009139833466	0.9016808741377222
AZ	16.47058823529412	0.03361344537815126	0.6176470588235294	0.029411764705882353	0.0375	0.875	63.46153846153846	0.0	0.8461538461538461	0.0	0.013333333333333334	0.9333333333333333	nan	0.16666666666666666	0.8333333333333334	0.16666666666666666	0.0	1.0	nan	0.0	0.6666666666666666	0.0	0.0	0.8	37.591578947368426	0.02300023185717598	0.7578947368421053	0.021052631578947368	0.020161290322580645	0.9153225806451613	25.871604938271606	0.02781893004115226	0.7654320987654321	0.024691358024691357	0.029585798816568046	0.8875739644970414	62	2	5	150	67	152	7.358484119243974	0.09877281409141801	0.6254545637823258	0.07924448038532082	0.08499774595512564	0.8022903985703701	156.26888965132298	0.0	0.7937322130051877	0.0	0.005079272110886646	0.9385858532943091	nan	0.5393889462030546	0.4606110537969455	0.5393889462030546	0.0	1.0	nan	0.0	1.0	0.0	0.0	0.4475100720033919	12.859982155937216	0.07204859866933941	0.6830588910160591	0.06016811484251555	0.053115073001925084	0.8351045815429627
CA	9.732328482328482	0.025428654460912525	0.722972972972973	0.02027027027027027	0.07428571428571429	0.7971428571428572	26.074301034086556	0.005845787724833242	0.9249329758713136	0.005361930294906166	0.03547297297297297	0.9172297297297297	15.950000000000001	0.0375	0.87	0.03	0.05454545454545454	0.8	nan	0.0	0.6875	0.0	0.0	0.9714285714285714	17.212883895131085	0.015746982937994175	0.8339575530586767	0.01373283395755306	0.04844961240310078	0.872093023255814	14.324298493768637	0.020792860611947548	0.8573667711598746	0.017241379310344827	0.059854014598540145	0.8291970802919708	547	11	41	568	588	579	7.19306085356554	0.044345171667425444	0.703760800684079	0.03273415914333317	0.09783884983195028	0.7381673790515202	14.654147724255889	0.007822434103435104	0.9043848972367655	0.006933930927132915	0.061715284590710545	0.886416022870424	6.269367784140976	0.04500214950328094	0.8772270039622412	0.03296763540618435	0.13992272174257808	0.7325791272210409	nan	0.0	0.9346225282913722	0.0	0.0	1.0	9.526975948181	0.030278257342542286	0.7757334183079485	0.024497529576109317	0.08142493720224626	0.8090799050607582
CO	20.34375	0.11862244897959184	0.65625	0.09375	0.03225806451612903	0.7903225806451613	52.83783783783784	0.0	0.918918918918919	0.0	0.017391304347826087	0.9391304347826087	8.0	0.0	1.0	0.0	0.125	0.875	nan	0.0	1.0	0.0	0.0	1.0	30.85128205128205	0.04329801934592354	0.8205128205128205	0.038461538461538464	0.026595744680851064	0.8882978723404256	18.265753424657536	0.04888248017303533	0.8082191780821918	0.0410958904109589	0.04424778761061947	0.8407079646017699	59	3	5	95	64	98	8.447289658912382	0.2569815043584403	0.6277756611024964	0.16470597982458235	0.0743168147951641	0.6409254247140247	23.437632345190035	0.0	0.90082771397772	0.0	0.03843509876383019	0.9360140700675142	43.36401333517389	0.0	1.0	0.0	0.023060596173852508	0.9769394038261476	nan	0.0	1.0	0.0	0.0	1.0	13.373886810349058	0.13644821388000555	0.7243631274300494	0.10775030208501715	0.05416249873369038	0.7896790952483574
CT	6.561403508771931	0.0	0.8947368421052632	0.0	0.13636363636363635	0.8636363636363636	nan	0.0	0.9130434782608695	0.0	0.0	1.0	nan	0.0	0.8333333333333334	0.0	0.0	1.0	2.5	0.0	1.0	0.0	0.4	0.6	11.52	0.0	0.9	0.0	0.078125	0.921875	18.11627906976744	0.0	0.8837209302325582	0.0	0.04878048780487805	0.9512195121951219	38	0	2	39	40	39	18.665587103203066	0.0	0.928931305544849	0.0	0.049767055298541446	0.9502329447014586	nan	0.0	0.9792944224885182	0.0	0.0	1.0	nan	0.0	0.5065811947833887	0.0	0.0	1.0	nan	nan	1.0	0.0	nan	nan	29.189295956115604	0.0	0.9196079261582506	0.0	0.031504971121634015	0.9684950288783659
DC	5.155172413793103	0.13448275862068965	0.7931034482758621	0.10344827586206896	0.15384615384615385	0.7692307692307693	35.1219512195122	0.02582496413199426	0.975609756097561	0.024390243902439025	0.027777777777777776	0.9444444444444444	3.857142857142857	0.10714285714285714	0.8571428571428571	0.07142857142857142	0.2222222222222222	0.6666666666666666	nan	0.0	1.0	0.0	0.0	1.0	9.465116279069766	0.06829088224437062	0.8953488372093024	0.05813953488372093	0.0945945945945946	0.8513513513513513	6.399613899613899	0.08614864864864866	0.8783783783783784	0.06756756756756757	0.13725490196078433	0.7843137254901961	65	5	7	40	72	45	2.141403437518714	0.09587417474127986	0.7915234445130738	0.05814685994491634	0.36962836177671754	0.6064913737388392	17.27483350240312	0.004836442580635706	0.9954650817551819	0.004534918244818062	0.05762516215375978	0.9376557602430977	42.07356986367228	0.0	1.0	0.0	0.02376789046520707	0.752309934003333	nan	0.0	1.0	0.0	0.0	1.0	3.405805284781552	0.04631448411797005	0.8874949860393538	0.032704103942953276	0.26058300807888896	0.7061312366051824
DE	nan	1.25	0.0	1.0	0.0	0.8	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.21666666666666667	0.8	0.2	0.0	0.9230769230769231	nan	0.22500000000000003	0.8	0.2	0.0	0.8888888888888888	4	1	0	8	4	9	nan	2.0307043380425647	0.0	1.0	0.0	0.49243997822150687	nan	0.0	1.0	0.0	0.0	1.0	nan	nan	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.35359946648594015	0.7840493289999353	0.21595067100006468	0.0	0.6107211448766463
FL	14.875350140056023	0.022953257132236782	0.8431372549019608	0.0196078431372549	0.05668016194331984	0.854251012145749	75.14601769911503	0.01830374319793327	0.9026548672566371	0.017699115044247787	0.012012012012012012	0.9669669669669669	19.63636363636364	0.0	0.8181818181818182	0.0	0.041666666666666664	0.9583333333333334	8.0	0.0	1.0	0.0	0.125	0.875	25.80124223602484	0.01891685736079329	0.8739130434782608	0.017391304347826087	0.03387096774193549	0.9193548387096774	30.759469696969695	0.024897213339424396	0.8465909090909091	0.022727272727272728	0.027522935779816515	0.9128440366972477	149	4	12	398	161	402	13.352389590252065	0.022557414057215754	0.8564159933279701	0.018184350527932037	0.06413953004735558	0.8061363098539726	68.26334114652359	0.002402800619168469	0.9226551526164988	0.0023610156957870883	0.013516114756763358	0.9826099081846245	nan	0.0	0.9410183663899152	0.0	0.0	1.0	5.408757539036996	0.0	1.0	0.0	0.18488534432956766	0.8151146556704324	18.843392093733193	0.0162701391251984	0.8732258011882931	0.014342832280662587	0.046341221200757406	0.881543308898269
