State	Gun Ownership (2015)	Guns per capita (2017)	Fatal Injuries by Firearms (Violence) (2017)	Federal Firearm Licensees (2017)	Guns per capita (2018)	Fatal Injuries by Firearms (Violence) (2018)	Fatal Injuries by Firearms (Violence) (2007-2016)
AK	0.617	21.38	22.98	0.001232773944	23.83	20.07	18.55
AL	0.489	33.15	22.3	0.000477358107	33.43	20.95	17.07
AR	0.579	26.57	19.64	0.0006490742038	27.89	18.35	15.58
AZ	0.323	25.61	15.76	0.0004640642393	25.9	15.62	14.19
CA	0.201	8.71	7.92	0.0001930107741	9.06	7.55	8.03
CO	0.343	16.48	13.75	0.0005359225019	17.59	15.33	11.72
CT	0.166	22.96	5.18	0.0005024825929	19.12	5.12	5.18
DC	0.259	68.05	14.27	4.17884295e-05	74.89	17.79	16.33
DE	0.052	5.04	11.44	0.0003274635918	5.15	10.75	10.18
FL	0.325	16.35	12.81	0.000347782162	17.71	13.47	12.34
GA	0.316	18.22	15.28	0.0003502605476	19.34	15.74	12.92
HI	0.451	5.5	2.59	0.0001723246597	5.64	3.94	3.3
IA	0.338	9.05	9.16	0.0006666219497	10.01	8.52	7.14
ID	0.569	28.86	15.96	0.0008433593893	29.94	16.42	12.66
IL	0.262	11.44	11.88	0.0004226675737	11.34	10.72	8.81
IN	0.338	17.1	14.82	0.0004316902006	17.9	14.36	11.59
KS	0.322	18.06	15.65	0.0006456987913	19.59	14.29	11.04
KY	0.424	18.2	15.94	0.0005410637043	19.19	16.2	13.91
LA	0.445	24.94	21.11	0.0004487298405	25.18	20.77	18.51
MA	0.226	5.41	3.78	0.0005984122905	5.8	3.68	3.45
MD	0.207	17.03	12.13	0.0005295615115	19.11	11.62	10.42
ME	0.226	11.5	12.58	0.0007193614526	12.79	11.81	9.57
MI	0.288	6.59	11.29	0.0004140605528	7.17	12.95	11.31
MN	0.367	14.22	8.11	0.0004633642757	15.51	7.72	7.02
MO	0.271	11.94	20.79	0.0007797456528	12.84	21.09	14.64
MS	0.428	11.89	19.97	0.000511712074	13.17	21.43	17.17
MT	0.523	21.06	22.85	0.001472641893	19.13	17.32	16.47
NC	0.287	14.82	13.42	0.0004565179323	15.91	13.28	11.98
ND	0.479	17.56	13.5	0.0009054889309	20.31	11.58	10.1
NE	0.198	11.57	8.07	0.000610913318	13.01	8.86	8.33
NH	0.144	47.76	10.65	0.0008884453695	43.6	11.28	7.79
NJ	0.113	6.38	5.25	5.807469183e-05	6.69	4.67	5.17
NM	0.499	46.73	18.2	0.0005325491961	48.29	20.66	15.38
NV	0.375	25.64	16.58	0.0004446239692	28.72	17.86	14.71
NY	0.103	3.83	3.83	0.000199502262	4	4.14	4.76
OH	0.196	14.87	13.38	0.0004110267357	14.83	13.05	10.39
OK	0.312	18.13	16.99	0.0006192022924	18.92	16.48	15.42
OR	0.266	14.82	12.62	0.0005691835619	15.83	12.15	11.24
PA	0.271	18.45	12.62	0.0004918185001	20.44	12.67	10.82
RI	0.058	3.98	4.06	0.0005954858211	4.29	3.4	4.17
SC	0.444	21.01	17.38	0.0004314969701	19.89	17.11	14.85
SD	0.35	24.29	11.27	0.0008876971159	25.9	12.47	9.42
TN	0.394	14.76	17.79	0.0004921095702	15.9	17.77	14.93
TX	0.357	20.79	12.19	0.0003858030689	22.22	12.01	10.57
UT	0.319	23.48	12.99	0.0004590833871	26.56	12.37	10.77
VA	0.293	36.34	12.16	0.0004884285988	38.51	11.95	10.61
VT	0.288	9.41	11.06	0.0008626536702	10.57	13.09	10.27
WA	0.277	12.4	11.28	0.0003720085885	13.47	10.54	9.19
WI	0.347	11.19	10.53	0.0005160915837	12.6	10.06	8.88
WV	0.542	19.42	18.78	0.0007897097624	20.95	18.11	14.39
WY	0.538	229.24	18.47	0.001493142763	221.7	21.12	16.63
