category,lexicon
cluster_4,abandon*
cluster_4,abuse*
cluster_1,accepted
cluster_1,accept
cluster_1,accepting
cluster_1,accepts
cluster_3,ache*
cluster_3,aching
cluster_4,active*
cluster_1,admir*
cluster_2,ador*
cluster_1,advantag*
cluster_4,adventur*
cluster_4,affection*
cluster_2,afraid
cluster_1,aggress*
cluster_4,agony
cluster_3,agreed
cluster_3,agrees
cluster_3,agree
cluster_3,agreeing
cluster_4,agreement*
cluster_3,alarm*
cluster_2,alone
cluster_2,alright*
cluster_3,amaz*
cluster_4,amor*
cluster_1,amus*
cluster_1,anger*
cluster_4,anguish*
cluster_2,annoy*
cluster_1,appall*
cluster_3,argh*
cluster_2,argu*
cluster_2,asham*
cluster_4,assault*
cluster_3,asshole*
cluster_1,assur*
cluster_3,attachment*
cluster_4,attack*
cluster_1,attract*
cluster_1,avoid*
cluster_2,awful
cluster_3,awesome
cluster_2,awkward*
cluster_2,bad
cluster_1,bashful*
cluster_1,bastard*
cluster_4,battl*
cluster_4,beaten
cluster_1,beaut*
cluster_1,beloved
cluster_4,benefit
cluster_4,benefits
cluster_1,best
cluster_2,better
cluster_2,bitch*
cluster_3,bitter*
cluster_4,blam*
cluster_2,bless*
cluster_4,bold*
cluster_1,bonus*
cluster_2,boring
cluster_2,bore*
cluster_2,bother*
cluster_3,brave*
cluster_3,bright*
cluster_2,broke
cluster_4,brutal*
cluster_4,burden*
cluster_2,calm*
cluster_2,cares
cluster_2,careful*
cluster_2,cared
cluster_2,caring
cluster_2,care
cluster_1,carefree
cluster_1,careless*
cluster_1,casual
cluster_1,casually
cluster_3,certain*
cluster_4,challeng*
cluster_4,champ*
cluster_4,charit*
cluster_1,charm*
cluster_3,cheat*
cluster_3,cheer*
cluster_3,cherish*
cluster_1,chuckl*
cluster_3,clever*
cluster_3,comed*
cluster_3,comfort*
cluster_4,commitment*
cluster_1,compassion*
cluster_2,complain*
cluster_1,compliment*
cluster_3,confidently
cluster_3,confident
cluster_3,confidence
cluster_4,confront*
cluster_2,confus*
cluster_1,considerate
cluster_1,contempt*
cluster_4,contented*
cluster_4,contentment
cluster_2,convinc*
cluster_2,cool
cluster_3,courag*
cluster_2,crap
cluster_1,crappy
cluster_4,create*
cluster_4,credit*
cluster_2,crying
cluster_2,cry
cluster_2,cried
cluster_2,cries
cluster_4,critical
cluster_1,critici*
cluster_4,crude*
cluster_3,cruel*
cluster_3,crushed
cluster_3,cunt*
cluster_1,cut
cluster_2,cute*
cluster_2,cutie*
cluster_1,cynic
cluster_4,damag*
cluster_4,danger*
cluster_3,daring
cluster_4,darlin*
cluster_1,daze*
cluster_2,dear*
cluster_4,decay*
cluster_4,defeat*
cluster_4,defect*
cluster_1,defens*
cluster_4,defenc*
cluster_2,definitely
cluster_2,definite
cluster_1,degrad*
cluster_4,delicate*
cluster_3,delicious*
cluster_3,depress*
cluster_1,depriv*
cluster_1,despair*
cluster_1,destroy*
cluster_4,destruct*
cluster_1,determined
cluster_3,devil*
cluster_1,devot*
cluster_3,difficult*
cluster_4,disadvantage*
cluster_3,disagree*
cluster_2,disappoint*
cluster_4,disaster*
cluster_1,discomfort*
cluster_1,discourag*
cluster_2,disgust*
cluster_1,dishearten*
cluster_2,dislikes
cluster_2,dislike
cluster_2,disliking
cluster_2,disliked
cluster_3,distract*
cluster_1,distraught
cluster_4,distress*
cluster_3,disturb*
cluster_1,divin*
cluster_4,doom*
cluster_3,dork*
cluster_3,doubt*
cluster_1,dread*
cluster_1,dull*
cluster_2,dumb*
cluster_4,dump*
cluster_1,dwell*
cluster_4,dynam*
cluster_4,ease*
cluster_4,easing
cluster_1,eager*
cluster_3,easiness
cluster_3,easie*
cluster_3,easy*
cluster_3,easily
cluster_2,embarrass*
cluster_2,emotional
cluster_1,empt*
cluster_4,encourag*
cluster_1,enemy*
cluster_1,enemie*
cluster_1,energ*
cluster_3,enjoy*
cluster_1,enrag*
cluster_1,entertain*
cluster_1,enthus*
cluster_1,envy*
cluster_1,envie*
cluster_1,envious
cluster_3,evil*
cluster_4,excel*
cluster_2,excit*
cluster_2,exhaust*
cluster_3,fab
cluster_1,fabulous*
cluster_1,fail*
cluster_1,faith*
cluster_2,fake
cluster_1,fantastic*
cluster_4,fatal*
cluster_1,fatigu*
cluster_3,fault*
cluster_1,favor*
cluster_1,favour*
cluster_4,fearful*
cluster_4,feared
cluster_4,fears
cluster_4,fear
cluster_4,fearing
cluster_1,fearless*
cluster_4,feud*
cluster_1,fiery
cluster_1,fiesta*
cluster_4,fight*
cluster_2,fine
cluster_4,fired
cluster_3,flatter*
cluster_3,flawless*
cluster_3,flirt*
cluster_1,flunk*
cluster_4,foe*
cluster_3,fondness
cluster_3,fondly
cluster_3,fond
cluster_2,fool*
cluster_1,forbid*
cluster_3,forgiv*
cluster_1,fought
cluster_1,frantic*
cluster_2,freak*
cluster_4,free
cluster_4,freeing
cluster_4,frees*
cluster_4,freed*
cluster_1,freely
cluster_4,freer
cluster_3,friend*
cluster_1,fright*
cluster_3,frustrat*
cluster_2,fucks
cluster_2,fucked*
cluster_2,fuck
cluster_3,fucker*
cluster_2,fuckin*
cluster_1,fume*
cluster_1,fuming
cluster_2,fun
cluster_4,fury
cluster_1,furious*
cluster_1,geek*
cluster_1,gentle
cluster_1,gently
cluster_3,giggl*
cluster_3,giving
cluster_1,giver*
cluster_2,glad
cluster_2,gladly
cluster_1,glamor*
cluster_4,glamour*
cluster_1,gloom*
cluster_4,glori*
